"nodes__name","nodes__value","nodes__colour","links__source","links__target","links__value"
"","","","91","96","1"
"","","","91","105","1"
"","","","24","96","1"
"","","","105","96","1"
"","","","105","69","2"
"","","","105","24","2"
"","","","95","72","2"
"","","","107","99","1"
"","","","108","93","3"
"","","","109","104","1"
"","","","72","94","3"
"","","","96","94","2"
"","","","109","110","2"
"","","","110","106","1"
"","","","110","93","2"
"","","","108","110","2"
"","","","109","106","1"
"","","","109","93","2"
"","","","108","109","2"
"","","","93","106","1"
"","","","108","106","1"
"","","","69","98","1"
"","","","66","98","1"
